OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
1,1006,68,00010,0120,000100120,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,1ST AVE,1ST AVE,SENECA ST,UNIVERSITY ST,2,Minor Arterial, ,INSVC,1200,25,NW,N, , ,306,48,PCC,2017/10/28 00:00:00+00,AC/PCC,2017/10/28 00:00:00+00,1ST AVE AND SENECA ST,NW,29611,1ST AVE AND UNIVERSITY ST,SE,29604,1269293.53489655,224852.7909383,N,N,N,Downtown Neighborhood,,87,62,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,4,ART,N,305.966027667416
2,1009,68,00010,0150,000100150,1ST AVE BETWEEN PIKE ST AND PINE ST,1ST AVE,1ST AVE,PIKE ST,PINE ST,2,Minor Arterial, ,INSVC,1500,25,NW,N, , ,426,104,AC/PCC,2017/10/28 00:00:00+00,PCC,2017/11/04 00:00:00+00,1ST AVE AND PIKE ST,NW,29593,1ST AVE AND PINE ST,SE,29585,1268673.27518392,225900.77404338,N,N,N,Downtown Neighborhood,,57,58,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,5,ART,N,426.031529738424
7,1103,68,00020,1220,000201220,1ST AVE NE BETWEEN N 122ND ST AND CORLISS S AVE N,1ST AVE NE,1ST AVE NE,N 122ND ST,CORLISS S AVE N,3,Collector Arterial, ,INSVC,12200,25,N,N, , ,837,24,ST,2017/09/23 00:00:00+00,,,1ST AVE NE AND N 122ND ST,N,36547,1ST AVE NE AND CORLISS S AVE N,S,670572,1272296.04824363,265566.28685199,N,N,N,Neighborhood Corridor,,36,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,2,ART,N,837.063723210522
15,1202,68,00030,0120,000300120,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,1ST AVE S,1ST AVE S,S ROYAL BROUGHAM WAY,S ATLANTIC ST,1,Principal Arterial,WSDOT,INSVC,1200,25,S,N, , ,760,79,AC/PCC,2017/10/11 00:00:00+00,AC/PCC,2017/11/02 00:00:00+00,1ST AVE S AND S ROYAL BROUGHAM WAY,S,30384,1ST AVE S AND S ATLANTIC ST,N,30388,1270092.50552137,219319.26747663,N,N,Y,Industrial Access,Y,73,69,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,760.007177897277
16,1222,68,00030,0560,000300560,1ST AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,1ST AVE S,1ST AVE S,S FINDLAY ST,S ORCAS ST,1,Principal Arterial, ,INSVC,5600,30,S,N, , ,295,65,AC/PCC,2017/10/12 00:00:00+00,,2008/03/06 00:00:00+00,1ST AVE S AND S FINDLAY ST,S,33038,1ST AVE S AND S ORCAS ST,N,33040,1269809.69182508,205079.41517405,N,N,Y,Industrial Access,Y,71,65,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,295.135928574921
22,1296,68,00150,0180,001500180,10TH AVE E BETWEEN E BLAINE ST AND E HOWE ST,10TH AVE E,10TH AVE E,E BLAINE ST,E HOWE ST,2,Minor Arterial, ,INSVC,1800,25,N,N, , ,323,42,AC/PCC,2017/10/07 00:00:00+00,,,10TH AVE E AND E BLAINE ST,N,28271,10TH AVE E AND E HOWE ST,S,28267,1273882.53445326,235340.70301305,N,N,N,Urban Center Connector,,37,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,4,ART,N,323.098936995518
23,1299,68,00150,0220,001500220,10TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,10TH AVE E,10TH AVE E,E BOSTON ST,E LYNN ST,2,Minor Arterial, ,INSVC,2200,25,N,N, , ,417,42,PCC,2017/11/02 00:00:00+00,,,10TH AVE E AND E BOSTON ST,N,28242,10TH AVE E AND E LYNN ST,S,28237,1273913.56459728,236618.92970236,N,N,N,Urban Center Connector,,82,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,417.255885359305
27,1364,68,00175,0260,001750260,10TH AVE W BETWEEN W RAYE N ST AND W BOTHWELL ST,10TH AVE W,10TH AVE W,W RAYE N ST,W BOTHWELL ST,3,Collector Arterial, ,INSVC,2600,25,N,N, , ,150,30,AC/PCC,2017/10/04 00:00:00+00,,,10TH AVE W AND W RAYE N ST,N,27896,10TH AVE W AND W BOTHWELL ST,S,27890,1261588.93124066,238486.21495226,N,N,N,Neighborhood Corridor,,74,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,149.689173594505
31,1407,68,00230,0420,002300420,11TH AVE NE BETWEEN NE 42ND ST AND NE 43RD ST,11TH AVE NE,11TH AVE NE,NE 42ND ST,NE 43RD ST,1,Principal Arterial, ,INSVC,4200,25,N,Y,N,F,540,39,AC/PCC,2018/05/01 00:00:00+00,,,11TH AVE NE AND NE 42ND ST,N,27087,11TH AVE NE AND NE 43RD ST,S,27074,1274900.6557983,243940.71850985,Y,N,Y,Urban Village Main,,55,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,540.141939123644
50,1659,68,00340,0150,003400150,12TH AVE S BETWEEN S ATLANTIC ST AND S MASSACHUSETTS ST,12TH AVE S,12TH AVE S,S ATLANTIC ST,S MASSACHUSETTS ST,3,Collector Arterial, ,INSVC,1500,25,S,N, , ,566,42,AC/PCC,2017/10/07 00:00:00+00,,,12TH AVE S AND S ATLANTIC ST,S,30466,12TH AVE S AND S MASSACHUSETTS ST,N,31232,1274251.00178163,218457.26568376,Y,N,N,Neighborhood Corridor,,9,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,565.950199404549
